1355,1252,1159,1077,1003,937,878,825,778,736
1347,1247,1157,1076,1004,939,881,828,782,739
1324,1232,1149,1074,1006,944,889,838,793,751
1316,1228,1147,1073,1007,946,891,841,796,755
1294,1214,1139,1071,1008,951,898,851,807,767
1287,1209,1137,1070,1009,952,901,854,810,771
1074,1058,1042,1026,1009,993,975,958,941,924
944,954,964,976,989,1002,1017,1033,1051,1070
918,932,948,964,982,1002,1024,1048,1076,1106
743,777,816,861,913,975,1051,1146,1271,1447
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,0.000001,,,,,,,,
,0.000002,,,,,,,,
,0.000005,,,,,,,,
,0.000006,,,,,,,,
,0.000009,,,,,,,,
,0.00001,,,,,,,,
,0.00005,,,,,,,,
,0.00009,,,,,,,,
,0.0001,,,,,,,,
,0.0002,,,,,,,,